TraningTrack1	 length = 405.0331
AddReward	2020/9/18 17:05:49	9.991005
AddReward	2020/9/18 17:05:49	9.987971
AddReward	2020/9/18 17:05:49	9.991109
AddReward	2020/9/18 17:05:49	9.988018
AddReward	2020/9/18 17:05:49	9.991031
AddReward	2020/9/18 17:05:49	9.987976
AddReward	2020/9/18 17:05:49	9.991011
AddReward	2020/9/18 17:05:49	9.980806
AddReward	2020/9/18 17:05:49	9.990899
AddReward	2020/9/18 17:05:49	9.986305
AddReward	2020/9/18 17:05:49	9.989712
AddReward	2020/9/18 17:05:49	9.987702
AddReward	2020/9/18 17:05:49	9.98802
AddReward	2020/9/18 17:05:49	9.988032
AddReward	2020/9/18 17:05:49	9.990765
AddReward	2020/9/18 17:05:49	9.987947
AddReward	2020/9/18 17:05:49	9.991035
AddReward	2020/9/18 17:05:49	9.987834
AddReward	2020/9/18 17:05:49	9.988873
AddReward	2020/9/18 17:05:49	9.986824
AddReward	2020/9/18 17:05:49	9.987807
AddReward	2020/9/18 17:05:49	9.985728
AddReward	2020/9/18 17:05:49	9.987153
AddReward	2020/9/18 17:05:49	9.988077
AddReward	2020/9/18 17:05:49	9.990887
AddReward	2020/9/18 17:05:49	9.988064
AddReward	2020/9/18 17:05:49	9.991128
AddReward	2020/9/18 17:05:49	9.987082
AddReward	2020/9/18 17:05:49	9.991096
AddReward	2020/9/18 17:05:49	9.988047
AddReward	2020/9/18 17:05:49	9.991069
AddReward	2020/9/18 17:05:49	9.988035
AddReward	2020/9/18 17:05:49	9.990308
AddReward	2020/9/18 17:05:49	9.987925
AddReward	2020/9/18 17:05:49	9.990905
AddReward	2020/9/18 17:05:49	9.987894
AddReward	2020/9/18 17:05:49	9.990942
AddReward	2020/9/18 17:05:49	9.984155
AddReward	2020/9/18 17:05:49	9.986896
AddReward	2020/9/18 17:05:49	9.986488
AddReward	2020/9/18 17:05:49	9.989209
AddReward	2020/9/18 17:05:49	9.988071
AddReward	2020/9/18 17:05:49	9.991018
AddReward	2020/9/18 17:05:49	9.988032
AddReward	2020/9/18 17:05:50	9.991089
AddReward	2020/9/18 17:05:50	9.988061
AddReward	2020/9/18 17:05:50	9.991096
AddReward	2020/9/18 17:05:50	9.98175
AddReward	2020/9/18 17:05:50	9.990642
AddReward	2020/9/18 17:05:50	9.985653
AddReward	2020/9/18 17:05:50	9.989085
AddReward	2020/9/18 17:05:50	9.987349
AddReward	2020/9/18 17:05:50	9.986723
AddReward	2020/9/18 17:05:50	9.98808
AddReward	2020/9/18 17:05:50	9.990844
AddReward	2020/9/18 17:05:50	9.988031
AddReward	2020/9/18 17:05:50	9.9911
AddReward	2020/9/18 17:05:50	9.982817
AddReward	2020/9/18 17:05:50	9.97841
AddReward	2020/9/18 17:05:50	9.970972
AddReward	2020/9/18 17:05:50	9.966593
AddReward	2020/9/18 17:05:50	9.959188
AddReward	2020/9/18 17:05:50	9.959618
AddReward	2020/9/18 17:05:50	9.96041
AddReward	2020/9/18 17:05:50	9.963877
AddReward	2020/9/18 17:05:50	9.964597
AddReward	2020/9/18 17:05:50	9.96843
AddReward	2020/9/18 17:05:50	9.987794
AddReward	2020/9/18 17:05:50	9.991118
AddReward	2020/9/18 17:05:50	9.988091
AddReward	2020/9/18 17:05:50	9.991105
AddReward	2020/9/18 17:05:50	9.988073
AddReward	2020/9/18 17:05:50	9.99033
AddReward	2020/9/18 17:05:50	9.988031
AddReward	2020/9/18 17:05:50	9.9911
AddReward	2020/9/18 17:05:50	9.988086
AddReward	2020/9/18 17:05:50	9.991113
AddReward	2020/9/18 17:05:50	9.986978
AddReward	2020/9/18 17:05:50	9.99112
AddReward	2020/9/18 17:05:50	9.988093
AddReward	2020/9/18 17:05:50	9.991113
AddReward	2020/9/18 17:05:50	9.988088
AddReward	2020/9/18 17:05:50	9.985826
AddReward	2020/9/18 17:05:50	9.982653
AddReward	2020/9/18 17:05:50	9.98244
AddReward	2020/9/18 17:05:50	9.979268
AddReward	2020/9/18 17:05:50	9.979175
AddReward	2020/9/18 17:05:50	9.973623
AddReward	2020/9/18 17:05:50	9.971918
AddReward	2020/9/18 17:05:50	9.96717
AddReward	2020/9/18 17:05:50	9.965476
AddReward	2020/9/18 17:05:50	9.960749
AddReward	2020/9/18 17:05:50	9.960573
AddReward	2020/9/18 17:05:50	9.957994
AddReward	2020/9/18 17:05:50	9.958563
